id,year,Q
98,2014,0.449
98,2015,-0.701
99,2006,-0.741
99,2007,0.398
99,2008,0.469
99,2009,-0.628
99,2010,1.898
99,2011,0.845
99,2012,-0.806
99,2013,0.881
99,2014,-0.621
99,2015,-0.198
100,2006,0.749
100,2007,0.55
100,2008,1.194
100,2009,0.621
100,2010,0.461
100,2011,0.591
100,2012,1.253
100,2013,0.728
100,2014,0.245
100,2015,-1.069
101,2006,0.252
101,2007,0.67
101,2008,1.398
101,2009,0.097
101,2010,0.917
101,2011,0.454
101,2012,0.641
101,2013,0.387
101,2014,0.036
101,2015,-1.908
102,2006,0.527
102,2007,0.668
102,2008,1.286
102,2009,0.095
102,2010,0.927
102,2011,0.251
102,2012,0.402
102,2013,0.111
102,2014,-0.041
102,2015,-2.259
103,2006,0.368
103,2007,0.783
103,2008,1.622
103,2009,-0.127
103,2010,0.624
103,2011,0.102
103,2012,0.541
103,2013,0.172
103,2014,-0.109
103,2015,-2.469
104,2006,0.729
104,2007,0.711
104,2008,1.469
104,2009,0.035
104,2010,0.917
104,2011,0.327
104,2012,-0.354
104,2013,0.485
104,2014,-0.359
104,2015,-2.145
105,2006,0.484
105,2007,1.038
105,2008,1.601
105,2009,-0.343
105,2010,0.412
105,2011,-0.105
105,2012,0.109
105,2013,0.478
105,2014,0.301
105,2015,-1.559
106,2006,1.048
106,2007,0.938
106,2008,1.002
106,2009,0.317
106,2010,0.259
106,2011,0.392
106,2012,0.45
106,2013,0.932
106,2014,0.585
106,2015,-1.615
107,2006,1.142
107,2007,0.714
107,2008,0.781
107,2009,0.264
107,2010,0.065
107,2011,0.525
107,2012,0.422
107,2013,0.813
107,2014,0.659
107,2015,-1.294
108,2006,1.279
108,2007,0.742
108,2008,0.641
108,2009,0.061
108,2010,0.229
108,2011,0.352
108,2012,0.254
108,2013,0.672
108,2014,0.582
108,2015,-0.761
109,2006,1.729
109,2007,0.19
109,2008,-0.146
109,2009,-0.481
109,2010,0.624
109,2011,-0.762
109,2012,0.157
109,2013,0.729
109,2014,0.363
109,2015,-0.775
110,2006,-1.015
110,2007,-0.419
110,2008,0.007
110,2009,-0.825
110,2010,1.581
110,2011,-0.624
110,2012,-0.275
110,2013,1.016
110,2014,-0.512
110,2015,-1.358
111,2006,-0.988
111,2007,-0.377
111,2008,-0.026
111,2009,-0.807
111,2010,1.574
111,2011,-0.661
111,2012,-0.341
111,2013,1.086
111,2014,-0.58
111,2015,-1.49
112,2006,-0.647
112,2007,-1.419
112,2008,-0.414
112,2009,-1.281
112,2010,1.414
112,2011,-0.849
112,2012,-0.779
112,2013,0.577
112,2014,-0.359
112,2015,-0.944
113,2006,-0.656
113,2007,-1.363
113,2008,-0.381
113,2009,-1.237
113,2010,1.396
113,2011,-0.873
113,2012,-0.765
113,2013,0.591
113,2014,-0.37
113,2015,-0.98
114,2006,-0.749
114,2007,0.101
114,2008,0.52
114,2009,-1.001
114,2010,2.292
114,2011,0.445
114,2012,-0.874
114,2013,0.86
114,2014,-0.469
114,2015,-0.963
115,2006,-0.748
115,2007,0.103
115,2008,0.52
115,2009,-1.001
115,2010,2.292
115,2011,0.443
115,2012,-0.874
115,2013,0.856
115,2014,-0.466
115,2015,-0.962
116,2006,-0.464
116,2007,0.504
116,2008,0.832
116,2009,-1.293
116,2010,1.999
116,2011,0.23
116,2012,0.062
116,2013,0.885
116,2014,0.744
116,2015,0.428
117,2006,0.417
117,2007,0.851
117,2008,1.171
117,2009,0.564
117,2010,1.015
117,2011,0.762
117,2012,0.751
117,2013,0.924
117,2014,0.34
